UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 7c 2d 2d 2d 4e 6f 20 70 61 79 6c 6f 61 64 20 72 65 73 70 2e 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 7c
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,60129E+12;0.00061;0.299627;7.379;5.159;3.320;0.031708;0.00946;0.003967;0.000305;0;0.000916;0.007629;1.105;0.018921;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.002441;0.007324;0.001984;6.1e-05;0.000732;0.000366;6.1e-05;6.1e-05;0.000275;0.08728;0.587769;0.328674;1601294516;18;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601294496;8218;0;2;0; 0a 30 68 3d 7d bd 5b fe f2 01 c6 ef 5d 02 50 ff c8 f1 70 0d e0 06 0a 31 68 3d 7d bd 5b fe f2 01 c6 ef 64 02 57 ff c8 f1 70 0d e0 06 0a 32 68 3d ec be eb fd ab 01 c9 ef 64 02 57 ff c8 f1 70 0d e0 06 0a 33 68 3d d9 be 61 fe 9e 01 cc ef 5a 02 5f ff c8 f1 70 0d e0 06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.301477;7.379;5.199;3.319;0.027374;0.008545;0.003662;0.000305;0.000305;0.00061;0.007629;1.110;0.018921;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.002441;0.007324;0.001984;6.1e-05;0.000732;0.000366;6.1e-05;6.1e-05;0.000275;0.087891;0.587463;0.326843;1601294517;18;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601294497;8218;0;2;0; 0a 30 68 3d f5 bd fa fb 6a 02 ac f0 4a 02 34 ff cc f1 58 10 f4 03 0a 31 68 3d 74 bf c3 fc e8 01 ab f0 4c 02 64 ff cc f1 58 10 f4 03 0a 32 68 3d 74 bf c3 fc e8 01 cb f0 43 02 6f ff cc f1 58 10 f4 03 0a 33 68 3d cc bd 4e fd c8 01 cb f0 43 02 6f ff cc f1 58 10 f4 03 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.297778;7.382;5.099;3.319;0.029724;0.010071;0.003662;0.000305;0.000305;0.00061;0.00824;1.071;0.018616;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.002441;0.007019;0.002136;6.1e-05;0.000793;0.000366;6.1e-05;6.1e-05;0.000275;0.084534;0.587769;0.326538;1601294518;18;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601294500;8218;0;2;0; 0a 30 68 3d 0d bf e0 ff f3 02 4d ef 13 02 1a ff 19 f2 47 10 3b 00 0a 31 68 3d 0d bf e0 ff f3 02 4d ef 1e 02 20 ff 19 f2 47 10 3b 00 0a 32 68 3d c5 be f2 ff 01 03 7f ef 1e 02 20 ff 19 f2 47 10 3b 00 0a 33 68 3d aa be 3c ff 5b 03 92 ef 34 02 36 ff 19 f2 47 10 3b 00 02 00 01 00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 ff 02 20 01 00 00 00
1,60129E+12;0.00061;0.299627;7.379;5.143;3.322;0.036896;0.009155;0.003662;0.000305;0.000305;0.00061;0.007629;1.097;0.018921;0.00061;0.000305;0.000916;0.001221;0.011597;0.001221;0.002441;0.007019;0.001984;6.1e-05;0.000732;0.000366;6.1e-05;6.1e-05;0.000275;0.08667;0.587463;0.3302;1601294519;18;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601294501;8218;0;2;0; 0a 30 68 3d 54 be 5c ff cd 01 24 ee 21 02 22 ff 02 f2 26 0e 9d fd 0a 31 68 3d 54 be 5c fe ba 01 12 ee 2a 02 68 ff 02 f2 26 0e 9d fd 0a 32 68 3d 16 bf ca fe ba 01 12 ee 2a 02 a0 ff 02 f2 d6 0d b5 fd 0a 33 68 3d 51 bf 51 ff 64 01 c8 ed 40 02 a0 ff 0b f2 d6 0d b5 fd 00 00 01 00 78 ff 02 20 a0 ff 02 20 f9 ff ff ff 3c 6c 00 20 e7 ff 02 20 00 00 00 00 e7 ff 02 20
1,60129E+12;0.00061;0.300552;7.382;5.148;3.320;0.031067;0.00885;0.003967;0.000305;0.000305;0.00061;0.007629;1.108;0.018921;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.002441;0.007019;0.002136;6.1e-05;0.000732;0.000366;6.1e-05;6.1e-05;0.000275;0.087585;0.587769;0.331726;1601294520;18;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601294512;8218;0;2;0; 0a 30 68 3d 9a be 03 fe 1a 02 6c ff 55 02 d1 fe 10 f2 9b 0c 33 fd 0a 31 68 3d 9a be 03 fe 1a 02 64 ff 73 02 c4 fe 10 f2 9b 0c 33 fd 0a 32 68 3d d3 be 18 fe 4a 02 64 ff 73 02 c4 fe 10 f2 9b 0c 33 fd 0a 33 68 3d ec be 18 fe 4c 02 6b ff 64 02 be fe 10 f2 9b 0c 33 fd 00 00 00 00 a0 ff 02 20 00 00 00 00 f9 ff ff ff 90 6b 00 20 e7 ff 02 20 00 00 00 00 00 00 00 00
1,60129E+12;0.00061;0.355114;7.376;5.114;3.322;0.04007;0.00946;0.003662;0.000305;0.000305;0.00061;0.007935;1.085;0.018616;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.002441;0.007019;0.001984;6.1e-05;0.000732;0.000336;6.1e-05;6.1e-05;0.000275;0.085754;0.587463;0.332031;1601294521;18;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601294513;8218;0;2;0; 0a 30 68 3d 85 be 15 fe 56 02 68 ff 60 02 cf fe ef f1 a0 0c 4c fd 0a 31 68 3d 7c be 16 fe 51 02 5f ff 60 02 cf fe ef f1 a0 0c 4c fd 0a 32 68 3d 6a be ff fd 45 02 4c ff 41 02 c7 fe ef f1 a0 0c 4c fd 0a 33 68 3d 86 be f3 fd 57 02 62 ff 4b 02 c5 fe ef f1 a0 0c 4c fd 08 00 00 00 00 00 00 00 a0 ff 02 20 00 00 00 00 00 00 00 00 b0 ff 02 20 00 00 00 00 f9 ff ff ff
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
